id;description;due_date;estimated_time_to_complete;estimated_time_to_complete_time_unit;is_read_by_assign_to;is_urgent;is_rejected;is_completed;completed_on;rejected_on;create_on;updated_on
1;withdrawal Avon rich;2021-08-15T22:03:00;64737;Gloves Web;false;false;false;true;2021-08-16T20:46:34;2021-08-16T06:00:57;2021-08-16T20:29:36;2021-08-16T05:38:36
2;bifurcated virtual;2021-08-16T18:34:19;99818;Central circuit;true;true;true;true;2021-08-16T07:53:44;2021-08-15T22:17:30;2021-08-16T04:33:46;2021-08-16T05:52:01
3;Licensed Officer;2021-08-16T17:48:29;84228;Clothing copying back-end;true;false;false;true;2021-08-16T01:19:02;2021-08-16T04:06:26;2021-08-16T21:12:38;2021-08-16T19:50:17
4;bypass;2021-08-16T09:39:41;9752;recontextualize Fantastic Re-contextualized;false;true;true;false;2021-08-15T21:45:50;2021-08-16T00:09:00;2021-08-16T10:45:25;2021-08-16T08:05:46
5;Plastic Engineer navigate;2021-08-16T10:00:38;91635;Chips;false;true;true;true;2021-08-16T10:42:22;2021-08-16T00:52:59;2021-08-16T06:04:09;2021-08-16T12:14:02
6;Concrete;2021-08-16T07:20:50;17553;withdrawal Refined;true;false;true;false;2021-08-16T08:03:52;2021-08-16T02:42:28;2021-08-15T22:18:13;2021-08-16T08:05:55
7;payment Vision-oriented;2021-08-16T12:04:17;67369;initiatives;false;false;false;true;2021-08-16T12:41:10;2021-08-16T00:45:29;2021-08-16T17:53:25;2021-08-16T14:23:07
8;Qatar;2021-08-16T04:05:24;30344;collaboration to Facilitator;false;false;false;false;2021-08-16T05:13:58;2021-08-16T11:06:03;2021-08-15T22:37:08;2021-08-15T23:59:58
9;withdrawal Investment;2021-08-16T08:41:56;58513;Designer coherent;false;false;false;true;2021-08-16T07:49:19;2021-08-16T03:54:59;2021-08-16T02:23:45;2021-08-16T20:23:00
10;attitude;2021-08-16T04:38:29;18141;Orchestrator;true;false;true;true;2021-08-16T05:36:58;2021-08-16T14:02:51;2021-08-16T06:01:59;2021-08-16T17:59:58
